image_date,minx,miny,maxx,maxy,MEAN_SOLAR_ZENITH_ANGLE,CLOUDY_PIXEL_PERCENTAGE,AREA,VEGETATION_PERCENTAGE,THIN_CIRRUS_PERCENTAGE
2019-03-12_03-35-28,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,27.1989651856,12.532825,48PVR,3.939801,4.457095
2019-03-22_03-35-20,103.7969785001064,9.860354894178148,104.17725512940856,10.854464395757088,26.0621692796,12.578202,48PUS,25.64413,9.750217
2019-03-19_03-25-28,106.11640036774074,8.953454850958392,106.91356853559611,9.948834437555732,26.1578450236,13.049148,48PXR,5.599185,10.303448
2019-03-30_03-45-33,103.17560615147838,8.953902438142253,104.0380316962208,9.950114248414968,21.7376036733,13.657573,48PUR,0.125196,7.280505
2019-03-19_03-25-13,106.3151731981388,9.857075849513782,106.9190801917226,10.851745844009663,26.553789973,13.756367,48PXS,28.068215,0.172743
2019-03-17_03-34-55,105.91454112647963,10.76219936476204,106.92510452852471,11.758657843410626,25.2982435517,14.036645,48PXT,20.907691,0.704909
2019-03-02_03-35-10,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,29.5501548478,14.241192,48PWS,38.536784,0.172972
2019-03-02_03-35-42,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,29.1724376595,14.283719,48PVQ,2.418565,3.373695
2019-03-12_03-35-43,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,26.7404853906,15.044456,48PVQ,3.496229,10.318045
2019-03-02_03-35-30,103.59929084326753,8.955722796515225,104.17938983366636,9.950485237113282,30.4582933497,15.330286,48PUR,0.030163,0.315757
2019-03-20_03-45-16,103.17035103578527,9.85756950139428,104.17553543621918,10.854464395757088,24.2658155517,15.686063,48PUS,11.986978,7.020244
2019-03-27_03-34-58,105.91454112647963,10.762225053286228,106.92510452852471,11.758657843410626,22.81470203,16.073866,48PXT,53.762347,12.465369
2019-03-02_03-35-24,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,28.9804434461,16.615648,48PWR,27.514336,0.221124
2019-03-05_03-45-25,103.17560615147838,8.953902438142253,104.04230197159777,9.95012659476084,27.6344693006,16.616897,48PUR,0.172511,14.091444
2019-03-22_03-35-34,103.59765178441222,8.955716559675139,104.17938983366636,9.950485237113282,25.6947867327,17.367975,48PUR,0.051653,17.353524
2019-03-22_03-35-42,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,23.664646388,18.41334,48PWQ,0.979675,10.199814
2019-03-17_03-35-42,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,24.7580772939,18.427554,48PWQ,1.135132,1.668246
2019-03-05_03-45-11,103.17035103578527,9.85756950139428,104.17553543621918,10.854464395757088,28.196204908,18.475187,48PUS,13.438678,10.410957
2019-03-22_03-35-46,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,24.5074281402,18.500429,48PVQ,2.568472,15.254435
2019-03-12_03-35-31,103.60038220662663,8.955726870539936,104.17938983366636,9.950485237113282,27.9901111494,18.950428,48PUR,0.048719,12.785734
2019-03-20_03-45-30,103.17560615147838,8.953902438142253,104.04202974373432,9.950125809149736,23.8423140698,19.044033,48PUR,0.140916,16.214763
2019-03-02_03-35-39,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,28.4259525737,19.371571,48PWQ,2.66526,2.094967
2019-03-22_03-35-31,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,24.8586028195,20.573439,48PVR,2.192319,12.7894
2019-03-04_03-25-29,106.11803749784804,8.953454850958392,106.91356853559611,9.948827888959968,29.772851837,20.644604,48PXR,5.174734,14.37431
2019-03-27_03-35-45,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,22.6704219634,21.015982,48PWQ,1.439129,2.738385
2019-03-09_03-25-11,106.31845253106562,9.857075849513782,106.9190801917226,10.851732394395748,29.0312378152,21.773971,48PXS,24.809135,3.772382
2019-03-02_03-35-13,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,30.2747891013,22.040013,48PVS,17.432481,8.379577
2019-03-17_03-34-59,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,26.081059198,22.937,48PWT,0.904028,0.188934
2019-03-29_03-25-31,106.11312901960082,8.953454850958392,106.91356853559611,9.948845360507706,24.1095938653,22.962068,48PXR,4.521265,16.251872
2019-03-22_03-34-59,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,24.8237532475,23.890479,48PWT,13.935561,0.50109
2019-03-17_03-35-24,105.90956829950066,8.95597002321343,106.56030739728334,9.950253775617009,24.3709562573,23.950028,48PXR,23.709425,3.7e-05
2019-03-17_03-35-34,103.59929296241089,8.955723473526238,104.17938983366636,9.950485237113282,26.8012101913,24.559111,48PUR,0.045096,4.025497
2019-03-27_03-35-02,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,23.6465112151,24.77597,48PWT,15.879153,12.898058
2019-03-27_03-35-34,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,23.8205184594,25.31786,48PVR,5.994605,17.064562
2019-03-17_03-35-46,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,25.5788801242,25.589123,48PVQ,1.021271,0.00082
2019-03-17_03-35-02,104.08361694068904,10.76577099881297,105.08948704583928,11.760133255270176,26.8700182549,25.738078,48PVT,0.767845,0.065825
2019-03-02_03-35-17,103.7986198383845,9.860360720752189,104.17725512940856,10.854464395757088,31.0065505788,26.61967,48PUS,13.543451,0.407149
2019-03-12_03-35-10,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,26.9022547349,29.466764,48PWS,16.399646,1.100716
2019-03-29_03-25-16,106.3124377967697,9.857075849513782,106.9190801917226,10.851762210305,24.3885248482,29.685504,48PXS,17.540509,2.242703
2019-03-12_03-34-56,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,27.4112530074,29.798967,48PWT,11.425521,0.046569
2019-03-22_03-35-13,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,24.4118807203,30.158055,48PWS,10.775158,0.446007
2019-03-02_03-35-21,105.90956829950066,8.955975385088863,106.55866591055693,9.950253775617009,28.2529565926,30.491276,48PXR,19.636001,0.433377
2019-03-17_03-35-31,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,25.9867915653,31.976739,48PVR,0.783806,0.023709
2019-03-12_03-35-25,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,26.4128450821,32.246086,48PWR,12.509802,4.259978
2019-03-24_03-25-16,106.31243600060256,9.857075849513782,106.9190801917226,10.851759470877967,25.4116081897,37.820205,48PXS,16.544776,4.860178
2019-03-17_03-35-16,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,26.4173745267,38.765152,48PVS,0.166101,0.004151
