PRODUCT_ID,GRANULE_MEAN_AOT,GRANULE_MEAN_WV,OZONE_VALUE,CLOUDY_PIXEL_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,MEAN_SOLAR_ZENITH_ANGLE,WATER_PERCENTAGE,SNOW_ICE_PERCENTAGE,_source_file,AREA
S2A_MSIL2A_20190131T031951_N0211_R118_T48PVQ_20190131T072612,,,,15.513542,8.010936,3.141821,35.7537264534,74.120545,0.002037,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-35-44\20190131T031951_20190131T032917_T48PVQ_metadata.json,48PVQ
S2A_MSIL2A_20190203T032941_N0211_R018_T48PUS_20190203T082804,,,,11.425125,0.387808,14.767729,35.5752838399,66.95931,1.1e-05,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-03_03-45-13\20190203T032941_20190203T034451_T48PUS_metadata.json,48PUS
S2A_MSIL2A_20190203T032941_N0211_R018_T48PUR_20190203T082804,,,,13.026489,1.262868,0.122896,34.8545039083,86.821276,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-03_03-45-28\20190203T032941_20190203T034451_T48PUR_metadata.json,48PUR
S2B_MSIL2A_20190205T031929_N0211_R118_T48PVT_20190205T091216,,,,40.060686,0.51114,14.647485,36.9222014054,1.144027,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-05_03-35-04\20190205T031929_20190205T032842_T48PVT_metadata.json,48PVT
S2B_MSIL2A_20190205T031929_N0211_R118_T48PVS_20190205T091216,,,,24.801939,8.54457,17.297132,36.2206218776,34.440988,0.001029,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-05_03-35-18\20190205T031929_20190205T032842_T48PVS_metadata.json,48PVS
S2B_MSIL2A_20190205T031929_N0211_R118_T48PUS_20190205T091216,,,,34.049303,11.720336,11.224144,36.836197328,47.59284,2.4e-05,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-05_03-35-22\20190205T031929_20190205T032842_T48PUS_metadata.json,48PUS
S2B_MSIL2A_20190205T031929_N0211_R118_T48PVR_20190205T091216,,,,37.641882,21.045683,2.728156,35.5272702659,53.225088,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-05_03-35-33\20190205T031929_20190205T032842_T48PVR_metadata.json,48PVR
S2B_MSIL2A_20190205T031929_N0211_R118_T48PUR_20190205T091216,,,,19.248641,13.457172,0.048175,36.1517753472,80.693138,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-05_03-35-36\20190205T031929_20190205T032842_T48PUR_metadata.json,48PUR
S2B_MSIL2A_20190205T031929_N0211_R118_T48PWQ_20190205T091216,,,,45.018514,30.124158,1.166572,34.2174131974,47.910267,0.001606,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-05_03-35-44\20190205T031929_20190205T032842_T48PWQ_metadata.json,48PWQ
S2A_MSIL2A_20190207T030911_N0211_R075_T48PXS_20190207T071407,,,,18.4385,1.3e-05,29.460314,36.2952263475,22.897364,0.035648,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-07_03-25-13\20190207T030911_20190207T031859_T48PXS_metadata.json,48PXS
S2A_MSIL2A_20190207T030911_N0211_R075_T48PXR_20190207T071407,,,,8.619929,0.0,5.442552,35.6219596786,78.150159,0.000616,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-07_03-25-28\20190207T030911_20190207T031859_T48PXR_metadata.json,48PXR
S2B_MSIL2A_20190208T032909_N0211_R018_T48PUS_20190208T073154,,,,4.920259,0.0,14.272237,34.5211370182,74.342155,0.001929,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-08_03-45-17\20190208T032909_20190208T034132_T48PUS_metadata.json,48PUS
S2B_MSIL2A_20190208T032909_N0211_R018_T48PUR_20190208T073154,,,,16.017294,0.000249,0.079885,33.8194200155,83.869648,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-08_03-45-31\20190208T032909_20190208T034132_T48PUR_metadata.json,48PUR
S2A_MSIL2A_20190210T031851_N0211_R118_T48PXT_20190210T083901,,,,2.388121,0.000111,69.356936,34.6358113899,1.864037,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-34-54\20190210T031851_20190210T033344_T48PXT_metadata.json,48PXT
S2A_MSIL2A_20190210T031851_N0211_R118_T48PWT_20190210T083901,,,,25.168186,1.7e-05,27.713314,35.2451716093,1.123663,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-34-57\20190210T031851_20190210T033344_T48PWT_metadata.json,48PWT
S2A_MSIL2A_20190210T031851_N0211_R118_T48PVT_20190210T083901,,,,23.706369,0.000487,14.557694,35.8646976012,1.068481,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-00\20190210T031851_20190210T033344_T48PVT_metadata.json,48PVT
S2A_MSIL2A_20190210T031851_N0211_R118_T48PXS_20190210T083901,,,,7.906962,2.629428,68.12107,33.9363031372,3.537001,5.9e-05,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-08\20190210T031851_20190210T033344_T48PXS_metadata.json,48PXS
S2A_MSIL2A_20190210T031851_N0211_R118_T48PWS_20190210T083901,,,,17.633743,0.180865,56.089264,34.5547882464,3.622873,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-12\20190210T031851_20190210T033344_T48PWS_metadata.json,48PWS
S2A_MSIL2A_20190210T031851_N0211_R118_T48PVS_20190210T083901,,,,30.933643,0.000236,15.739536,35.1834176452,32.345495,0.000365,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-15\20190210T031851_20190210T033344_T48PVS_metadata.json,48PVS
S2A_MSIL2A_20190210T031851_N0211_R118_T48PXR_20190210T083901,,,,20.447904,7.615024,28.54054,33.2454404483,32.872239,0.00052,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-23\20190210T031851_20190210T033344_T48PXR_metadata.json,48PXR
S2A_MSIL2A_20190210T031851_N0211_R118_T48PWR_20190210T083901,,,,21.575355,0.369783,30.626518,33.8733287233,15.560761,0.007906,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-26\20190210T031851_20190210T033344_T48PWR_metadata.json,48PWR
S2A_MSIL2A_20190210T031851_N0211_R118_T48PVR_20190210T083901,,,,10.539975,3.6e-05,7.375556,34.5113279662,69.871008,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-29\20190210T031851_20190210T033344_T48PVR_metadata.json,48PVR
S2A_MSIL2A_20190210T031851_N0211_R118_T48PUR_20190210T083901,,,,24.146363,0.0,0.012519,35.1583310067,75.833738,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-32\20190210T031851_20190210T033344_T48PUR_metadata.json,48PUR
S2A_MSIL2A_20190210T031851_N0211_R118_T48PWQ_20190210T083901,,,,7.851865,0.090823,2.388791,33.2005975427,84.732395,0.003338,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-41\20190210T031851_20190210T033344_T48PWQ_metadata.json,48PWQ
S2A_MSIL2A_20190210T031851_N0211_R118_T48PVQ_20190210T083901,,,,7.780678,0.03278,2.660479,33.8482428777,83.742487,0.002153,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-10_03-35-44\20190210T031851_20190210T033344_T48PVQ_metadata.json,48PVQ
S2B_MSIL2A_20190212T030839_N0211_R075_T48PXS_20190212T075536,,,,16.009991,0.000268,40.045881,35.2170528764,19.278406,0.043635,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-02\S2_2019-02-12_03-25-16\20190212T030839_20190212T032044_T48PXS_metadata.json,48PXS
