province,date,precipitation
Soc Trang,2020-02-04,0.03717489234780851
Soc Trang,2020-02-05,0
Soc Trang,2020-02-06,0
Soc Trang,2020-02-07,0
Soc Trang,2020-02-08,0.17410815599779872
Soc Trang,2020-02-09,0
Soc Trang,2020-02-10,0.017574111622898476
Soc Trang,2020-02-11,0
Soc Trang,2020-02-12,0
Soc Trang,2020-02-13,0
Soc Trang,2020-02-14,0
Soc Trang,2020-02-15,0
Soc Trang,2020-02-16,0
Soc Trang,2020-02-17,0.796145654712934
Soc Trang,2020-02-18,0
Soc Trang,2020-02-19,0
Soc Trang,2020-02-20,0
Soc Trang,2020-02-21,0
Soc Trang,2020-02-22,0
Soc Trang,2020-02-23,0
Soc Trang,2020-02-24,0
Soc Trang,2020-02-25,0
Soc Trang,2020-02-26,0
Soc Trang,2020-02-27,0.12940625608775894
Soc Trang,2020-02-28,0
Soc Trang,2020-02-29,0.14279385925262322
Soc Trang,2020-03-01,0
Soc Trang,2020-03-02,0.1915800709409903
Soc Trang,2020-03-03,0
Soc Trang,2020-03-04,0
Soc Trang,2020-03-05,4.156938283853053
Soc Trang,2020-03-06,0
Soc Trang,2020-03-07,0
Soc Trang,2020-03-08,0
Soc Trang,2020-03-09,0.14143367236170093
Soc Trang,2020-03-10,0.6929438385105927
Soc Trang,2020-03-11,3.0252944277739884
Soc Trang,2020-03-12,0
Soc Trang,2020-03-13,0
Soc Trang,2020-03-14,0
Soc Trang,2020-03-15,0
Soc Trang,2020-03-16,0
Soc Trang,2020-03-17,0.07483142555721177
Soc Trang,2020-03-18,0
Soc Trang,2020-03-19,0
Soc Trang,2020-03-20,0
Soc Trang,2020-03-21,0
Soc Trang,2020-03-22,0
Soc Trang,2020-03-23,0
Soc Trang,2020-03-24,0
Soc Trang,2020-03-25,0
Soc Trang,2020-03-26,0
Soc Trang,2020-03-27,0
Soc Trang,2020-03-28,0
Soc Trang,2020-03-29,0
Soc Trang,2020-03-30,0.4122580490963433
Soc Trang,2020-03-31,0
Soc Trang,2020-04-01,0
Soc Trang,2020-04-02,0
Soc Trang,2020-04-03,0
Soc Trang,2020-04-04,0
Soc Trang,2020-04-05,0
Soc Trang,2020-04-06,0
Soc Trang,2020-04-07,0
Soc Trang,2020-04-08,0
Soc Trang,2020-04-09,0
Soc Trang,2020-04-10,0
Soc Trang,2020-04-11,0
Soc Trang,2020-04-12,12.110952678559276
Soc Trang,2020-04-13,17.51770965813022
Soc Trang,2020-04-14,0.13377294793300804
Soc Trang,2020-04-15,0
Soc Trang,2020-04-16,0
Soc Trang,2020-04-17,0
Soc Trang,2020-04-18,0
Soc Trang,2020-04-19,0
Soc Trang,2020-04-20,0
Soc Trang,2020-04-21,0
Soc Trang,2020-04-22,0
Soc Trang,2020-04-23,0.025369002335061987
Soc Trang,2020-04-24,0.5734563672536325
Soc Trang,2020-04-25,0
Soc Trang,2020-04-26,1.4397581248682578
Soc Trang,2020-04-27,0.8493164075665282
Soc Trang,2020-04-28,0.4804813270762614
Soc Trang,2020-04-29,0
Soc Trang,2020-04-30,0.01579162786758813
Soc Trang,2020-05-01,0
Soc Trang,2020-05-02,0
Soc Trang,2020-05-03,0
Soc Trang,2020-05-04,0
Soc Trang,2020-05-05,0.4072864826673428
Soc Trang,2020-05-06,0.7142844059598205
Soc Trang,2020-05-07,0
Soc Trang,2020-05-08,0
Soc Trang,2020-05-09,0
Soc Trang,2020-05-10,0.06617153473725423
Soc Trang,2020-05-11,0.30811203488677874
Soc Trang,2020-05-12,2.4808600223570356
Soc Trang,2020-05-13,0
Soc Trang,2020-05-14,0.6557186430211381
Soc Trang,2020-05-15,0
Soc Trang,2020-05-16,6.45282159588241
Soc Trang,2020-05-17,4.225806701042437
Soc Trang,2020-05-18,1.186572982926665
Soc Trang,2020-05-19,11.673640283305991
Soc Trang,2020-05-20,8.960843548929068
Soc Trang,2020-05-21,2.3537560410026814
Soc Trang,2020-05-22,2.9165149119074223
Soc Trang,2020-05-23,10.866310031504112
Soc Trang,2020-05-24,7.198630121518064
Soc Trang,2020-05-25,1.1665201684657505
Soc Trang,2020-05-26,0.005432290047339485
Soc Trang,2020-05-27,2.0601670589076146
Soc Trang,2020-05-28,13.003492618957651
Soc Trang,2020-05-29,8.73663365719461
Soc Trang,2020-05-30,7.104186283540633
Soc Trang,2020-05-31,8.413718435146233
Soc Trang,2020-06-01,18.025752078392404
Soc Trang,2020-06-02,9.593991766974213
Soc Trang,2020-06-03,4.108066964150863
Soc Trang,2020-06-04,9.765178402623484
Soc Trang,2020-06-05,12.034439859675077
Soc Trang,2020-06-06,1.9889888274015202
Soc Trang,2020-06-07,1.50625259687343
Soc Trang,2020-06-08,6.688851571113606
Soc Trang,2020-06-09,11.281559935942752
Soc Trang,2020-06-10,13.867698125347324
Soc Trang,2020-06-11,4.609072884657181
Soc Trang,2020-06-12,13.62349000620871
Soc Trang,2020-06-13,28.94401290512907
Soc Trang,2020-06-14,25.99023045459185
Soc Trang,2020-06-15,10.39619566582687
Soc Trang,2020-06-16,10.36579547819092
Soc Trang,2020-06-17,4.613132384517817
Soc Trang,2020-06-18,9.202267457659229
Soc Trang,2020-06-19,13.192404100057537
Soc Trang,2020-06-20,21.246636171491403
Soc Trang,2020-06-21,5.892293287307645
Soc Trang,2020-06-22,1.1075644038043757
Soc Trang,2020-06-23,0.09616859278995638
Soc Trang,2020-06-24,5.175880010645607
Soc Trang,2020-06-25,7.664631419016092
Soc Trang,2020-06-26,8.62480979215046
Soc Trang,2020-06-27,11.752771920192336
Soc Trang,2020-06-28,22.641046049792397
Soc Trang,2020-06-29,12.829415533049472
Soc Trang,2020-06-30,13.099272527565336
Soc Trang,2020-07-01,3.577522460688547
Soc Trang,2020-07-02,24.193254373053723
Soc Trang,2020-07-03,4.568764447333086
Soc Trang,2020-07-04,0
Soc Trang,2020-07-05,10.451824268126314
Soc Trang,2020-07-06,10.699703467685492
Soc Trang,2020-07-07,0
Soc Trang,2020-07-08,5.9386691373656415
Soc Trang,2020-07-09,0.2734468874279247
Soc Trang,2020-07-10,8.77274212927718
Soc Trang,2020-07-11,6.915501210321304
Soc Trang,2020-07-12,7.193328997749746
Soc Trang,2020-07-13,7.466196111009611
Soc Trang,2020-07-14,11.215991775044433
Soc Trang,2020-07-15,12.710736827626318
Soc Trang,2020-07-16,1.3354989828659751
Soc Trang,2020-07-17,1.046968387019648
Soc Trang,2020-07-18,0.7839041920488868
Soc Trang,2020-07-19,0.9315971733723873
Soc Trang,2020-07-20,1.5001469117831057
Soc Trang,2020-07-21,3.5640475186506584
